12000 3.00 -0.90 -0.65 -0.398 -0.116 -0.034 -0.072 -0.254 -0.031 -0.066 -0.013    
12250 3.00 -0.97 -0.70 -0.425 -0.120 -0.036 -0.077 -0.271 -0.034 -0.070 -0.015    
12500 3.00 -1.03 -0.75 -0.450 -0.124 -0.038 -0.082 -0.287 -0.035 -0.073 -0.016    
12750 3.00 -1.10 -0.79 -0.473 -0.128 -0.040 -0.087 -0.303 -0.037 -0.077 -0.018    
13000 3.00 -1.16 -0.84 -0.494 -0.132 -0.042 -0.092 -0.319 -0.040 -0.081 -0.019    
14000 3.00 -1.40 -1.02 -0.571 -0.147 -0.050 -0.111 -0.376 -0.047 -0.094 -0.024    
15000 3.00 -1.62 -1.19 -0.636 -0.161 -0.058 -0.129 -0.429 -0.053 -0.106 -0.029    
16000 3.00 -1.83 -1.36 -0.693 -0.173 -0.065 -0.146 -0.477 -0.060 -0.118 -0.034    
17000 3.00 -2.03 -1.50 -0.744 -0.185 -0.072 -0.162 -0.522 -0.066 -0.129 -0.039    
18000 3.00 -2.21 -1.64 -0.792 -0.195 -0.079 -0.177 -0.565 -0.072 -0.139 -0.043    
19000 3.00 -2.38 -1.77 -0.837 -0.203 -0.084 -0.191 -0.605 -0.078 -0.150 -0.049    
20000 3.00 -2.54 -1.89 -0.880 -0.210 -0.089 -0.202 -0.643 -0.084 -0.161 -0.054    
21000 3.00 -2.68 -2.00 -0.922 -0.215 -0.093 -0.211 -0.675 -0.088 -0.170 -0.060    
22000 3.00 -2.81 -2.11 -0.959 -0.221 -0.095 -0.218 -0.702 -0.092 -0.178 -0.065    
23000 3.00 -2.94 -2.21 -0.992 -0.226 -0.098 -0.225 -0.725 -0.095 -0.184 -0.068    
24000 3.00 -3.06 -2.31 -1.020 -0.233 -0.102 -0.233 -0.749 -0.098 -0.190 -0.071    
25000 3.00 -3.17 -2.40 -1.047 -0.237 -0.105 -0.241 -0.773 -0.102 -0.197 -0.074    
26000 3.00 -3.27 -2.48 -1.076 -0.239 -0.105 -0.244 -0.791 -0.105 -0.203 -0.077    
 9000 3.50  0.01 -0.07  0.060  0.010  0.007  0.026  0.076  0.010  0.015  0.012    
 9250 3.50 -0.08 -0.11  0.025 -0.011 -0.002  0.007  0.031  0.004  0.005  0.010    
 9500 3.50 -0.17 -0.16 -0.012 -0.030 -0.009 -0.008 -0.009 -0.003 -0.005  0.007    
 9750 3.50 -0.25 -0.21 -0.049 -0.045 -0.015 -0.021 -0.045 -0.007 -0.013  0.005    
10000 3.50 -0.34 -0.26 -0.087 -0.057 -0.020 -0.032 -0.077 -0.011 -0.021  0.002    
10250 3.50 -0.41 -0.31 -0.125 -0.067 -0.024 -0.041 -0.106 -0.014 -0.028  0.000    
10500 3.50 -0.49 -0.36 -0.162 -0.076 -0.027 -0.048 -0.133 -0.018 -0.035 -0.003    
10750 3.50 -0.57 -0.41 -0.198 -0.084 -0.029 -0.055 -0.158 -0.021 -0.041 -0.005    
11000 3.50 -0.64 -0.46 -0.233 -0.090 -0.031 -0.061 -0.181 -0.024 -0.047 -0.007    
11250 3.50 -0.71 -0.50 -0.267 -0.096 -0.033 -0.067 -0.203 -0.026 -0.052 -0.009    
11500 3.50 -0.78 -0.55 -0.300 -0.102 -0.035 -0.072 -0.223 -0.029 -0.057 -0.011    
11750 3.50 -0.84 -0.60 -0.330 -0.107 -0.037 -0.077 -0.242 -0.032 -0.062 -0.013    
12000 3.50 -0.91 -0.65 -0.359 -0.111 -0.039 -0.082 -0.260 -0.034 -0.066 -0.014    
12250 3.50 -0.98 -0.70 -0.387 -0.116 -0.041 -0.087 -0.277 -0.036 -0.070 -0.016    
