 5500 1.50  1.59 -0.09  0.494  0.782  0.398  0.781  1.675  0.359  0.405  0.045   
 5750 1.50  1.45 -0.03  0.406  0.673  0.352  0.697  1.482  0.310  0.354  0.040   
 6000 1.50  1.31  0.01  0.352  0.571  0.308  0.614  1.301  0.264  0.305  0.038   
 6250 1.50  1.18  0.05  0.324  0.479  0.265  0.534  1.130  0.223  0.260  0.038   
 6500 1.50  1.05  0.08  0.310  0.394  0.223  0.456  0.970  0.187  0.219  0.039   
 6750 1.50  0.92  0.09  0.304  0.305  0.183  0.382  0.823  0.154  0.183  0.040   
 7000 1.50  0.79  0.10  0.296  0.222  0.145  0.312  0.688  0.127  0.152  0.040   
 7250 1.50  0.67  0.11  0.275  0.159  0.111  0.249  0.564  0.103  0.124  0.039   
 7500 1.50  0.56  0.10  0.239  0.106  0.084  0.196  0.455  0.083  0.099  0.037   
 7750 1.50  0.45  0.09  0.193  0.063  0.061  0.152  0.360  0.067  0.078  0.035   
 8000 1.50  0.35  0.07  0.135  0.031  0.043  0.119  0.280  0.054  0.060  0.033   
 8250 1.50  0.25  0.04  0.071  0.012  0.033  0.096  0.215  0.044  0.045  0.030   
 8500 1.50  0.16 -0.00  0.005  0.002  0.028  0.083  0.164  0.037  0.032  0.027   
 8750 1.50  0.07 -0.05 -0.064 -0.003  0.027  0.077  0.125  0.030  0.021  0.023   
 9000 1.50  0.00 -0.10 -0.131 -0.006  0.028  0.073  0.093  0.027  0.014  0.020    
 3500 2.00  2.91 -2.02  1.641  1.463  0.808  1.950  4.931  1.084  1.215  0.143   
 3750 2.00  2.72 -1.35  1.815  1.535  0.823  1.688  4.069  0.979  1.088  0.121   
 4000 2.00  2.53 -0.98  1.713  1.451  0.783  1.502  3.510  0.863  0.954  0.104   
 4250 2.00  2.35 -0.71  1.446  1.329  0.693  1.322  3.068  0.746  0.822  0.091   
 4500 2.00  2.19 -0.51  1.173  1.217  0.610  1.169  2.699  0.642  0.706  0.080   
 4750 2.00  2.03 -0.36  0.933  1.108  0.545  1.049  2.389  0.555  0.610  0.069   
 5000 2.00  1.88 -0.25  0.726  0.994  0.492  0.952  2.124  0.483  0.532  0.059   
 5250 2.00  1.73 -0.16  0.559  0.880  0.444  0.865  1.893  0.423  0.468  0.050   
 5500 2.00  1.59 -0.09  0.434  0.772  0.398  0.782  1.686  0.368  0.412  0.041   
