348
0.0000000000000000E+00  4.8719695028749200E+15
-1.6157176520897800E-10 4.8719694106858300E+15
-1.8083641018808000E-09 4.8719659621235500E+15
-6.9833953914154600E-09 4.8719554700306800E+15
-1.8094896506146800E-08 4.8719374566078300E+15
-3.7960007774385800E-08 4.8719117821499500E+15
-6.9865261234761000E-08 4.8718779745433300E+15
-1.1760549815075900E-07 4.8718354467424700E+15
-1.8556322791982500E-07 4.8717835227617500E+15
-2.7877366289178500E-07 4.8717214604180900E+15
-4.0298325175244500E-07 4.8716484653420900E+15
-5.6481720328700000E-07 4.8715636450865200E+15
-7.7172464126740500E-07 4.8714660915685600E+15
-1.0322104270309100E-06 4.8713548067499600E+15
-1.3560603088352200E-06 4.8712286660863000E+15
-1.7537876997544800E-06 4.8710866707270800E+15
-2.2380033262015700E-06 4.8709274861641900E+15
-2.8226954046937900E-06 4.8707497766711600E+15
-3.5236285665483400E-06 4.8705521155507800E+15
-4.3577010070411200E-06 4.8703331932712700E+15
-5.3454102410261700E-06 4.8700912111301400E+15
-6.5079371765106400E-06 4.8698246867918100E+15
-7.8697518762086600E-06 4.8695318430781200E+15
-9.4595423691885800E-06 4.8692105190281000E+15
-1.1308224741438900E-05 4.8688586556167600E+15
-1.3448440020329300E-05 4.8684743861166100E+15
-1.5919766875206800E-05 4.8680551399953400E+15
-1.8764564409968000E-05 4.8675984866287800E+15
-2.2032209690567600E-05 4.8671014938353600E+15
-2.5772688423441500E-05 4.8665617748517900E+15
-3.0046409248476400E-05 4.8659760715857400E+15
-3.4917620058733000E-05 4.8653413086986100E+15
-4.0457140846852400E-05 4.8646542544958200E+15
-4.6746977182899600E-05 4.8639110439397100E+15
-5.3878477803419400E-05 4.8631075396896300E+15
-6.1943520600935500E-05 4.8622403589746200E+15
-7.1057652426857700E-05 4.8613044151500800E+15
-8.1338764849471100E-05 4.8602953412148600E+15
-9.2916040811143900E-05 4.8592085677173300E+15
-1.0594481703933200E-04 4.8580380794210500E+15
-1.2057575255581700E-04 4.8567793413945200E+15
-1.3700465378296600E-04 4.8554250217624400E+15
-1.5541550317510200E-04 4.8539699768204300E+15
-1.7602638273476000E-04 4.8524074848874900E+15
-1.9908794422331700E-04 4.8507296727312300E+15
-2.2486680163657600E-04 4.8489289187102000E+15
-2.5364347564481000E-04 4.8469980060839200E+15
-2.8575006365727700E-04 4.8449277078212400E+15
-3.2153915851111900E-04 4.8427090866571300E+15
-3.6139709718733400E-04 4.8403327405230000E+15
-4.0576381818263300E-04 4.8377878108032800E+15
-4.5508742612732300E-04 4.8350647782639600E+15
-5.0991306492149400E-04 4.8321506554119500E+15
-5.7082300248334300E-04 4.8290326423812900E+15
-6.3838809507459800E-04 4.8257005624307600E+15
-7.1334468509807700E-04 4.8221382132266700E+15
-7.9643020802753600E-04 4.8183318470205400E+15
-8.8847590688915700E-04 4.8142658592863300E+15
-9.9042233185706600E-04 4.8099225198694200E+15
-1.1032050470209000E-03 4.8052870687689000E+15
-1.2280459410296200E-03 4.8003358810080900E+15
-1.3657360153337600E-03 4.7950651508427700E+15
-1.5181163311094400E-03 4.7894338809327600E+15
-1.6865237618204300E-03 4.7834244611317100E+15
-1.8723900913430400E-03 4.7770189387316100E+15
-2.0772461653036500E-03 4.7701990133863000E+15
-2.3032626821884500E-03 4.7629290182748700E+15
-2.5522930683845800E-03 4.7551881312532000E+15
-2.8269296118375800E-03 4.7469370058561800E+15
-3.1294072193130400E-03 4.7381521172155600E+15
-3.4621108585435200E-03 4.7288096395286300E+15
-3.8290790295325400E-03 4.7188452075521000E+15
-4.2317181769430700E-03 4.7082714142341200E+15
-4.6754749384286600E-03 4.6969992670521900E+15
-5.1621002969507200E-03 4.6850410273580300E+15
-5.6979539301809100E-03 4.6723007856047500E+15
-6.2851936258471400E-03 4.6587905700315700E+15
-6.9312250778191000E-03 4.6444073721256900E+15
-7.6398568580662000E-03 4.6291381702800200E+15
-8.4174150737052100E-03 4.6129215044258500E+15
-9.2695212715749900E-03 4.5957188760752500E+15
-1.0203554316136200E-02 4.5774644380554700E+15
-1.1227603236051500E-02 4.5580890371793800E+15
-1.2350527336387500E-02 4.5375202979060000E+15
-1.3578573726987200E-02 4.5157420623717000E+15
-1.4923430696657300E-02 4.4926504174328900E+15
-1.6394344713951600E-02 4.4681973195790400E+15
-1.8003134568745900E-02 4.4423028932604600E+15
-1.9762663321784700E-02 4.4148843078001900E+15
-2.1684620708010200E-02 4.3858899362938000E+15
-2.3786218865056500E-02 4.3551995373669800E+15
-2.6081340750879100E-02 4.3227582694777700E+15
-2.8584639541653000E-02 4.2885129850079000E+15
-3.1317353564074000E-02 4.2523378939777500E+15
-3.4299817106735700E-02 4.2141385547587100E+15
-3.7554003679900000E-02 4.1738169642587400E+15
-4.1096759095459900E-02 4.1313548154307100E+15
-4.4959769005290600E-02 4.0865752593484400E+15
-4.9170564977775300E-02 4.0393759299799200E+15
-5.3754798599734700E-02 3.9896940422921600E+15
-5.8743889104825400E-02 3.9374262898838300E+15
-6.4171397423532100E-02 3.8824692069517800E+15
-6.9962957413155100E-02 3.8257676366134100E+15
-7.6063437883084700E-02 3.7680231400600700E+15
-8.2477790379794200E-02 3.7093367865847600E+15
-8.9210702846669500E-02 3.6497687833780300E+15
-9.6260667884940400E-02 3.5894458396706100E+15
-1.0364186770291700E-01 3.5289612639221700E+15
-1.1135004213617000E-01 3.4691366186818200E+15
-1.1938580106535400E-01 3.4100578288497000E+15
-1.2774907485288500E-01 3.3517480913527300E+15
